pEffort,uaI,SleepInd,Sex_F,pEffort(MA6),SleepInd(MA6),uaI(MA6),Appetite(MA6),FatigInd
6.0,2.08,-5.0,1,4.678341327003208,-4.7133495888966115,2.2522524239165804,5.2979068095145045,Optimal
1.0,2.0,-6.529999999999999,1,4.206533599946193,-6.136978681079829,1.997464728139748,6.000012555873833,Optimal
1.0,0.0,-4.0,0,3.71243533486713,-3.5761471130519578,1.0995774898068549,4.884461087341466,Optimal
5.0,2.69,-6.0,1,4.685065901040721,-5.692757593406835,2.20120253943357,6.000000017035974,Optimal
7.0,2.03,-5.0,1,6.853001538221792,-5.523600265303571,1.9055259980098775,6.028800807834182,Optimal
3.0,1.4,-7.0,1,2.5409377421323467,-6.47908969899693,2.2907387771618195,5.397592193564368,Optimal
5.0,2.35,-7.0,0,4.622729609860221,-5.320095863058845,2.736609655025125,3.812466239454739,Optimal
5.0,2.21,-4.0,1,3.809549000926289,-4.038165194237358,2.1456147508764984,5.58389734664843,Optimal
6.0,2.33,-6.0,1,4.63420003569941,-5.059235522613877,1.9504655373186344,5.988525189334376,Optimal
6.0,2.45,-4.5,0,5.859687012658876,-3.6857693567300376,2.2750826811014675,3.92528435997715,Optimal
5.0,1.53,-6.0,1,4.73608491131144,-5.4085216133165614,1.868153718346048,5.912426276033677,Optimal
5.0,2.45,-7.0,1,6.353572213378465,-5.940612380256924,2.027309182658101,6.014694289711318,Optimal
2.0,3.67,-3.0,1,3.1572815162827146,-4.735714601616315,2.82371623006073,5.219698673462762,Optimal
5.0,1.56,-8.0,0,3.916105268992822,-7.139443924180228,0.8916573185864414,3.285106506767745,Optimal
3.0,1.0,-7.0,1,4.734770564091478,-7.065133235017295,1.638391079206468,6.000000015006736,Optimal
6.0,1.94,-7.0,0,5.333280302441748,-6.458583887718358,2.1642320009957112,3.951183423431575,Optimal
5.0,2.51,-6.5,1,5.055140009509774,-6.108501643561496,2.1097249758971124,5.999999967435813,Optimal
7.0,2.94,-4.0,1,6.697974525393824,-4.400781836495387,2.3457928242978463,5.98630359273369,Optimal
6.0,2.21,-3.5,0,4.982033807694178,-3.2858266321863643,2.1372178451312736,4.166567081352591,Optimal
7.0,1.75,-5.0,1,6.631648760400846,-3.9741440914596793,1.9224123977878431,5.9997584148510406,Optimal
6.0,1.86,-5.0,1,4.970165003844205,-4.815734209827445,1.1347005095347122,6.134666665964347,Optimal
4.0,2.81,-5.0,1,4.600356173195577,-5.514969802934141,2.5127649682905338,6.000000001154365,Optimal
6.0,2.0,-4.0,1,5.414809806940464,-4.340732643872624,2.1538697631219295,5.998975507571201,Optimal
4.0,1.82,-6.0,1,4.753671435364124,-6.077501173972498,2.0269464113550804,5.999999976739867,Optimal
8.0,2.25,-3.5,1,6.68887382496892,-5.15774381423285,2.04725047558083,5.999955081002529,Optimal
3.0,2.0,-8.0,1,3.095316555478764,-8.292139040630637,1.9968004232909344,5.1429596399464,Optimal
1.0,0.0,-5.0,1,3.4159082108122045,-5.258980528364033,1.6116312759917784,5.7833689734523395,Optimal
7.0,2.76,-4.6,0,5.315026908250394,-4.453133916805987,2.42309774475835,5.04681283545926,Optimal
5.0,2.45,-5.5,1,4.770243805002291,-4.938106849211866,2.3087517313689863,5.212790578224646,Optimal
5.0,2.19,-4.5,1,4.561128743534696,-4.6318195100646555,1.9127847147284984,6.003104389741795,Optimal
5.0,1.89,-5.0,0,4.86606698804488,-4.352107552412072,1.834895541819121,4.085164786715696,Optimal
3.0,2.74,-2.0,0,4.489174019876086,-3.6423412212005246,2.578016855446541,4.232199626498126,Optimal
7.0,1.0,-3.5,1,6.125545525329685,-4.375497332561322,2.0421095699344267,6.0147073928238175,Optimal
6.0,3.2,-5.0,1,4.824695690106518,-4.247310552767578,2.6273681238600934,6.056499920271975,Optimal
6.0,2.47,-3.8,1,5.175354446058132,-4.603813193429902,2.4393430476562363,5.999999999980143,Optimal
6.0,2.33,-4.0,0,4.809217851043306,-4.281687526740853,1.6018854805199598,4.329165707508007,Optimal
4.0,1.82,-4.5,1,4.229734816594179,-4.828007595199191,2.0711744438263544,6.019286342604994,Optimal
3.0,2.83,-5.699999999999999,1,2.9726530022458713,-5.942419382733245,1.930094920882785,5.0807462391156255,Optimal
1.0,0.0,-6.0,1,1.7862983754112678,-5.749021318706147,1.347536150500908,5.999999999982792,Optimal
1.0,0.0,-6.0,1,2.650735893313433,-5.872140323554201,1.274296798097755,5.604307437457287,Optimal
5.0,2.0,-8.0,1,3.99743341756244,-7.312367143339967,1.5476255484614565,6.000000000006537,Optimal
1.0,0.0,-4.0,0,4.641876482994212,-3.981729812358267,1.7992885633611235,3.547825047781388,Optimal
8.0,2.22,-4.0,1,6.625635043960071,-4.1399874461575035,1.9678259647302112,5.941917516012462,Optimal
5.0,1.6,-4.0,0,4.938963943429428,-4.285347259559154,2.0980020262778973,4.021793718408517,Optimal
5.0,1.93,-5.0,0,4.912536443148689,-2.6166180758017488,1.6053644314868805,5.12536443148688,Optimal
5.0,2.61,-5.0,1,5.249727833730251,-4.965590689668342,2.379070972421969,5.999999999994832,Optimal
3.0,1.0,-6.0,0,4.666628787458391,-6.327559919798827,1.831594286425508,3.965131016736839,Optimal
3.0,2.0,-7.0,1,2.8583279099626737,-7.1146358254058795,1.5917802987102772,5.77145110687934,Optimal
4.0,2.0,-6.0,1,2.5158002851445405,-5.861781892624466,1.8301583065652096,5.999999999995521,Optimal
6.0,2.0,-6.0,1,5.626734344968732,-5.58675009962925,1.9625847353465515,6.000185298211895,Optimal
5.0,1.79,-5.5,1,5.201457066593425,-5.162115658676111,2.0756112907435447,5.966712236970696,Optimal
3.0,2.0,-7.0,1,3.298224456983482,-6.939736087975904,1.8512318872850864,5.485222706588681,Optimal
5.0,1.96,-6.0,1,5.282039893230796,-5.026961922146556,2.189855807040962,5.953397131758974,Optimal
6.0,2.64,-3.0,1,4.9382207641353375,-4.8190594593226015,2.3515845644076014,5.999999999706947,Optimal
1.0,2.0,-4.0,1,3.119382805222858,-5.578888893529143,2.007835704665081,5.123662841686191,Optimal
1.0,1.0,-5.0,0,3.842840750554522,-4.055929856231538,1.8366040619768345,4.215888947945549,Optimal
3.0,2.0,-5.5,1,2.298367285583882,-5.599841425588596,1.7917444582958275,5.9999999926540495,Optimal
5.0,2.76,-6.0,1,5.088041639976921,-5.403128763880311,2.484548251876198,5.999999999923716,Optimal
1.0,0.0,-7.5,1,3.0894519605443853,-6.942753560778357,1.1457787554704884,6.000000001016863,Optimal
5.0,1.82,-4.0,1,4.949665557677352,-4.571882758776546,2.116980448231364,5.918588505886219,Optimal
4.0,1.54,-5.5,1,3.02956168352015,-6.160522413323025,0.910180925254594,5.999998153808802,Optimal
6.0,2.0,-6.0,1,5.600150305619296,-6.727661140633897,1.8512465152446769,6.0000000294132025,Optimal
1.0,0.0,-6.0,1,2.393968979999473,-5.5233035688040975,1.1992284407646536,6.103726579251883,Optimal
4.0,1.29,-5.0,1,3.4047564513391047,-5.673781739058224,1.327003926063942,6.635568513129923,Optimal
5.0,1.6,-4.0,0,4.161430008538421,-4.249762120830596,1.4403797471858226,4.4394291976707425,Optimal
5.0,2.0,-5.0,1,4.2883186702262215,-5.654650252535166,1.816353858075973,6.074237709677091,Optimal
1.0,0.0,-7.0,1,1.9146216759705248,-6.373560963049225,0.3892278917778515,5.38603172621499,Optimal
6.0,2.64,-6.0,1,5.3496189672223515,-4.951826965535679,2.286699361390757,5.999999999992764,Optimal
4.0,1.75,-4.0,0,2.5127179154144557,-5.369882257246903,0.9461034037265444,5.5291588625110375,Optimal
5.0,1.56,-6.0,1,3.4171172595792907,-6.2724735021583795,0.826176458898606,5.999994934051352,Optimal
5.0,2.59,-4.5,1,5.139457436397789,-3.880227713124895,2.1627510664511695,6.000001352170384,Optimal
3.0,2.0,-6.0,1,3.1876982247185497,-5.735125703064965,1.9208181657036667,5.999935210446351,Optimal
4.0,1.32,-3.5,1,5.829244198539918,-3.62505138696536,1.8518996195298412,5.999337090351254,Optimal
5.0,2.08,-6.0,1,4.824051025260088,-6.055357981408927,2.042104579539343,5.999999983385619,Optimal
1.0,0.0,-7.0,1,2.64138635692821,-6.424731378652235,0.6582532953564316,5.999997415332323,Optimal
6.0,2.0,-4.5,1,5.665880491289972,-4.771601921009404,2.0023793630683553,5.9919556229700115,Optimal
3.0,1.0,-7.0,1,3.92523274476214,-6.719854985089699,1.6040902576586835,6.000000001423608,Optimal
5.0,2.06,-3.0,0,4.765523885078488,-4.5441900323224464,2.15312458414917,4.083722748638161,Optimal
5.0,2.64,-5.0,1,4.951277344075249,-5.56695382150504,2.5192204151530833,4.781756235851864,Optimal
3.0,3.29,-6.0,0,4.006203146745736,-5.381966399633121,2.237558243228296,4.504224593312875,Optimal
5.0,1.68,-6.0,1,5.077196013313684,-5.951902300986094,1.9496149662559572,5.999999954410138,Optimal
4.0,1.46,-4.5,1,3.575820832455739,-5.556926836308357,1.585539768205717,6.000000046746712,Optimal
6.0,1.52,-4.5,0,5.592995412695938,-2.878889216793443,1.5260102475435948,5.52539480218824,Optimal
6.0,3.58,-5.0,1,5.160496921504656,-4.462364680548269,2.899548659900067,6.040357085908553,Optimal
4.0,1.54,-6.5,1,2.854238872934366,-6.082607128549344,0.9487664164815724,5.201484449599681,Optimal
3.0,2.0,-9.0,1,3.2615486282337276,-7.841629527490469,1.9912203615103243,5.392281252012922,Optimal
7.0,3.02,-6.5,0,5.82997612076163,-4.69310355019474,2.4225049771022027,4.479519786560353,Optimal
3.0,2.0,-7.0,1,2.821779736851055,-6.9900429562634665,1.907450754295,5.623878132818916,Optimal
8.0,2.0,-5.800000000000001,1,6.197422092933451,-5.843283870122393,1.7917574173970403,5.992931108313687,Optimal
6.0,2.75,-3.0,0,5.251234142008432,-4.085947476818356,2.0914091835861663,5.839373699908251,Optimal
6.0,2.0,-5.0,1,6.353538061679662,-4.421657640614995,1.9859224639957256,6.029664679207467,Optimal
6.0,2.0,-6.0,1,5.13510726857461,-5.922285021730777,1.9863646994703177,6.000067528502878,Optimal
8.0,2.58,-2.0,1,6.50624468616174,-3.8743753944687063,1.925738890871214,5.886158331384425,Optimal
6.0,1.94,-4.5,1,6.451177686000604,-4.124388636756914,1.9274374269913168,5.999827439179315,Optimal
5.0,2.18,-3.5,1,4.874322160900062,-5.325255701006377,2.0815032710995305,5.999999988132585,Optimal
6.0,1.68,-5.5,0,6.122980347171133,-4.835625206077625,1.9695691843957113,3.8485104053972097,Optimal
5.0,1.32,-2.0,0,4.574847330771849,-3.20015728506091,2.1081049831837833,4.233193913893627,Optimal
2.0,1.87,-7.0,1,4.19513353149336,-5.804606581414369,1.9773547373632456,5.995761409144374,Optimal
5.0,2.35,-5.0,1,3.9827291660398134,-5.397804883077397,1.803956977289798,6.000000033390509,Optimal
6.0,2.0,-6.0,1,5.163266705192069,-5.876402499417015,2.127412184688474,5.9963268267225365,Optimal
7.0,2.42,-5.0,0,5.526804307728922,-3.681947997858035,1.8002879752484082,5.268043077289224,Optimal
5.0,1.93,-2.5,1,4.93587865352044,-4.451661071942029,2.17668534239772,5.999999993945197,Optimal
4.0,2.0,-6.0,0,3.6828361262639904,-5.615219285181515,1.9986169824878477,3.929272167150439,Optimal
3.0,2.0,-3.0,1,3.6710532859523046,-4.683595325191689,1.9096728953355335,5.105261932996445,Optimal
3.0,2.0,-5.5,1,2.531120222263679,-5.557593165067231,1.999814509822833,5.999999848224965,Optimal
1.0,0.0,-5.0,1,4.454165818287859,-5.110068474401757,0.9707655660891388,6.0687074826348715,Optimal
6.0,2.0,-5.0,1,5.407940838538548,-4.587540954956612,2.010961466559357,6.003828455024943,Optimal
5.0,2.0,-6.0,1,4.047244690819358,-5.0513616583104675,1.834457535427116,5.777589310442904,Optimal
6.0,2.0,-6.0,1,5.684805855894537,-5.971678214916464,1.995030867153906,6.000024609512712,Optimal
2.0,2.0,-5.5,1,1.826062131701515,-5.923204366051767,1.339378984424513,5.999999999998834,Optimal
8.0,2.04,-3.0,1,6.560941877955885,-3.675071941751504,2.0646594673417775,5.999071926491756,Optimal
6.0,1.62,-5.0,1,5.404414827155352,-5.466472303206997,1.7151270304039985,6.045814244064974,Optimal
4.0,2.73,-5.0,1,4.2806688187418,-4.989261574255124,2.555944677754018,5.506100065638455,Optimal
2.0,3.29,-6.0,1,2.700333164411159,-5.9706221340475745,2.236987204532033,5.530992979140626,Optimal
4.0,1.0,-6.0,1,2.475942391113065,-5.815982660966638,0.5772577214814041,5.9999465980601805,Optimal
8.0,2.09,-6.0,1,6.036636220880598,-5.476759127993002,1.7412433385391046,6.0790294166969945,Optimal
3.0,2.0,-8.0,1,4.634969498422383,-7.0522396009463355,1.9133460749844544,6.000000000012812,Optimal
6.0,2.0,-5.5,1,6.304807190272169,-5.7771856480216295,1.893753784386245,5.9963934226090245,Optimal
3.0,0.0,-4.5,0,4.332904991460628,-4.394362537437194,1.3106396727279437,4.060831990511211,Optimal
7.0,1.89,-4.0,0,5.128876104582384,-5.351255100471029,1.6538645088603654,3.7009731418732503,Optimal
4.0,2.32,-3.0,0,4.179633150090395,-3.8883662890386392,2.1066651543681365,4.219883225665873,Optimal
6.0,2.02,-5.5,1,4.452696442503238,-5.556138346507192,1.6645765676795397,5.999999998423886,Optimal
6.0,2.48,-6.0,1,5.006477776787366,-5.67149915638122,1.914988044734459,5.999999999195861,Optimal
5.0,2.79,-5.0,1,5.11953862768774,-4.705933374439843,2.519782089083519,5.608557734668535,Optimal
3.0,2.0,-7.0,1,4.4132805401544095,-6.106739445752968,1.963797528119724,5.999512164723369,Optimal
4.0,2.0,-5.5,0,3.7654562708417463,-4.829226223647868,1.890227856893552,4.139407578705351,Optimal
4.0,0.0,-6.0,1,4.7416895254290825,-5.538910088999665,1.108175160737917,5.708454810495448,Optimal
5.0,1.53,-6.0,0,5.105483259526218,-5.424056937462864,1.8157820863448464,3.471822878187816,Optimal
7.0,2.36,-4.0,0,5.7774580726375895,-5.116955565477001,1.8169778419818312,3.584312552409943,Optimal
6.0,2.16,-0.5,1,6.3544447740420855,-3.061429468491645,2.098896804646557,5.984880652856223,Optimal
1.0,0.0,-4.0,0,3.82600201195379,-4.349666969162834,1.3765316460601518,4.21520087673904,Optimal
5.0,2.0,-6.0,1,3.9671359273120017,-6.210444450940801,2.010969986531113,5.173127978360668,Optimal
5.0,2.67,-6.5,1,6.3175683160357075,-5.428581266038127,2.1284044790923087,5.896872408417652,Optimal
5.0,1.83,-6.0,1,4.179650161301867,-6.029846643757629,1.820680394563016,5.999999656729488,Optimal
8.0,2.0,-7.0,1,6.730108441248992,-4.933028565847547,1.9613712412042703,6.081399879745287,Optimal
4.0,3.95,-6.0,1,4.141376393243064,-5.802717952886844,3.7306116811987815,6.000000000214637,Optimal
8.0,2.25,-4.5,1,7.208030069771894,-4.585532399530958,2.1033539356237787,5.973155041758032,Optimal
5.0,1.94,-7.0,0,5.066592423418448,-6.242017442805702,2.253924801393996,3.9316567928042048,Optimal
6.0,2.0,-7.5,1,5.284009777317884,-6.688555175129727,1.7776392012365911,6.0000000002646985,Optimal
4.0,2.0,-7.0,1,3.184519935687624,-7.0818827324327716,1.7084144990787693,5.551036504913814,Optimal
8.0,2.0,-4.0,1,6.9558867661630925,-4.317172265619895,1.9928175836712885,6.015135040411973,Optimal
7.0,2.08,-3.0,0,5.430193577774313,-2.2304449035108203,1.5284143465610327,5.335552723063535,Optimal
5.0,2.11,-5.5,1,4.36338427324371,-5.467987797061556,1.9165119764870977,5.99999999999904,Optimal
3.0,1.0,-5.0,1,2.7505256380810237,-5.622957373967287,1.1959262843555396,5.717362455326634,Optimal
1.0,1.0,-4.0,1,1.805534151037325,-4.973252556595309,0.7682488730548059,5.981435253449779,Optimal
7.0,2.59,-4.0,0,6.172172486039586,-4.569875288508674,2.0853968581539957,3.7879145675560935,Optimal
6.0,2.0,-4.5,1,6.682776261545066,-4.369408761157068,1.994869702622349,6.01081074315141,Optimal
2.0,2.0,-6.0,1,1.9837895047775636,-5.705782221601499,1.7840168600827346,5.999999999502236,Optimal
4.0,1.77,-5.0,1,4.882032181162889,-4.590397829864378,1.8469697601009991,6.011925823632074,Optimal
5.0,2.52,-4.0,1,5.00636457434153,-4.1085769762775985,2.1170229653888337,6.000466246374775,Optimal
3.0,2.0,-7.0,1,2.9834856246401222,-6.451579721758947,1.5141991526093792,6.005163938518801,Optimal
5.0,2.83,-5.6,0,4.572158167621643,-4.788654143280915,1.9312141567274608,4.4282802028932355,Optimal
5.0,2.44,-5.0,1,4.1296053746658545,-5.525187841760403,1.9222666486992412,5.985889137537296,Optimal
3.0,1.98,-4.0,1,3.612244897959184,-5.498542274052477,1.6021574344023324,5.568513119533527,Optimal
4.0,2.92,-4.0,0,4.003164870788641,-5.317329795731183,2.647325634300151,4.257257445567793,Optimal
8.0,2.0,-4.0,1,7.0929346008921375,-4.666448975605391,1.9724080294316215,6.058142771246634,Optimal
1.0,0.0,-3.0,0,3.8307374109085215,-3.276765469812897,1.3077800851854458,4.588855861137766,Optimal
4.0,2.37,-5.0,1,4.862377760328545,-4.675137382025364,2.408127902838496,6.000169914859613,Optimal
5.0,2.65,-5.0,1,4.387936823058968,-5.0586580627215,2.520798453209456,6.000000000588962,Optimal
6.0,2.0,-5.0,1,5.53223268780596,-4.880242689413166,2.0033311082956975,5.988737872158016,Optimal
3.0,2.0,-5.5,1,2.436643838979927,-5.963840297941533,1.688694875764288,5.999999999933893,Optimal
5.0,2.03,-1.0,1,5.353541706134907,-3.9899178660979167,1.777096409331825,6.303599407183172,Optimal
5.0,2.0,-4.0,0,4.318598130931248,-4.695373508006558,1.7910722972541109,3.3263366262815133,Optimal
6.0,2.0,-6.0,1,5.558728198252352,-5.96034950088305,1.993043214015468,6.000034453317796,Optimal
5.0,1.9,-5.0,0,4.4010214346703,-4.464115800593282,1.5716998194184448,4.59959228405053,Optimal
4.0,2.0,-6.0,1,3.553990298236802,-6.294622231317121,2.015357981143558,5.242379169704936,Optimal
4.0,1.77,-7.0,1,4.785437467549892,-5.000116180165763,1.98875054410774,6.0000006898828495,Optimal
5.0,2.0,-3.8,0,3.6716387791784455,-4.560916713107015,1.846318999650973,4.19517061018749,Optimal
2.0,3.29,-6.0,1,2.5002379745793992,-5.979015810033982,2.5378480032371664,5.379280699386161,Optimal
7.0,2.45,-5.0,1,6.194551180115267,-4.467993909207815,2.390439591386555,6.000016118889247,Optimal
6.0,2.24,-6.5,0,4.479710193142164,-4.889847110359171,1.6391619998288864,4.398584759605221,Optimal
8.0,1.72,-5.0,0,7.57408627543478,-4.765218054076264,2.1637268434229155,3.5518905776268057,Optimal
8.0,2.0,-5.0,1,6.683636373849061,-5.291024930276336,2.0004424055208316,5.998504273325477,Optimal
1.0,0.0,-6.0,1,5.872239584877009,-5.073775773158665,1.6096482261075795,5.776870329513471,Optimal
5.0,0.0,-3.0,1,4.186100230275053,-4.3641743566623585,0.9831652683999704,6.324269649556084,Optimal
7.0,2.58,-5.0,0,5.9948857758987915,-4.639338546017724,2.340461723011328,4.448734584979771,Optimal
4.0,2.0,-4.5,1,3.1073344162102856,-5.288249771853967,1.4154250307418146,5.4072020609790945,Optimal
5.0,1.75,-4.0,1,4.404797034834351,-5.720667027298617,1.6871681432715753,5.770144845541591,Optimal
2.0,2.0,-7.0,1,1.8958219244006569,-6.209126983965405,1.389841956498005,5.999999999870429,Optimal
3.0,2.0,-5.5,1,3.2627775146059697,-5.629175984290951,1.8891454319851333,5.999909294624891,Optimal
3.0,2.64,-4.0,1,4.0279042677099,-5.21008616912188,2.3584007036837713,5.346247617019364,Optimal
6.0,2.12,-5.0,1,5.030657554179017,-5.267432182451912,1.6919569571592032,5.925459157916471,Optimal
7.0,2.15,-5.0,0,5.994996723354241,-3.4849208691381732,1.7042930339597104,5.660996287277314,Optimal
3.0,1.33,-9.0,1,5.310498682871166,-5.378307483475675,1.9736592409736715,6.000054757020847,Optimal
4.0,2.0,-5.0,0,4.3506780692390254,-4.978480267526859,2.315359650744521,3.577170305489326,Optimal
4.0,1.75,-5.5,0,5.170464933170292,-4.644734486526242,2.017408228145793,3.890634125065344,Optimal
6.0,2.0,-7.5,1,5.084966122421527,-6.804580959734608,1.998706493948851,6.000006406058079,Optimal
6.0,1.8,-3.5,1,5.908742560626435,-4.624125552256189,1.6640344472196995,5.840621663938194,Optimal
7.0,2.22,-6.0,1,6.311883014914713,-5.626256519995001,1.8780309560993604,6.056449583354996,Optimal
3.0,2.0,-5.5,1,3.6812527815890976,-5.544549069358993,2.642598908505528,4.766933345673872,Optimal
1.0,2.06,-6.0,1,4.987147846006086,-5.413363211616008,2.12921011130603,5.936868886892436,Optimal
1.0,0.0,-8.0,1,3.406149165438034,-5.979697570831699,1.635755675488004,6.000000065445397,Optimal
4.0,2.0,-5.0,1,3.544558375617493,-5.453188659109166,1.7017474646641912,5.411837786213823,Optimal
5.0,2.0,-6.0,1,4.018838651627311,-6.631282079086135,1.697623667015428,6.000000003906377,Optimal
1.0,2.0,-4.0,1,4.839564043535554,-4.19158027171496,2.02148447445634,6.007503771848887,Optimal
6.0,1.68,-5.0,0,5.894111269013772,-4.223679593591434,1.9701201271657536,4.185642885128074,Optimal
1.0,0.0,-4.5,1,3.2822382367809713,-5.431861843867407,1.412396240973747,5.996972435103125,Optimal
5.0,2.44,-5.0,1,3.7011422821093705,-5.7564322084435435,1.5669216410620266,4.898716555918204,Optimal
7.0,2.28,-5.0,0,6.282140516681601,-3.9178006208129807,1.8687807385426505,5.757854490912368,Optimal
5.0,2.0,-4.5,0,4.550093393163902,-4.754091189376046,1.959995574669662,4.050804511189996,Optimal
4.0,2.0,-7.0,1,3.674684554012495,-5.895134756506547,1.7869624747601367,5.2941698472955885,Optimal
1.0,0.0,-5.5,0,1.706069172966246,-4.349476029011859,0.5985988884336877,5.50553443548039,Optimal
5.0,2.81,-6.0,1,5.108074418639158,-5.9326632213805315,2.05746095275834,5.999999936174193,Optimal
3.0,2.0,-5.5,1,3.3678885204483575,-5.680846378007332,1.8448036047791867,5.999873012474847,Optimal
1.0,0.0,-4.0,0,4.66175040274134,-4.927640880382555,1.4536362933141689,4.5319945869942755,Optimal
4.0,2.0,-4.5,1,3.4813702166531235,-5.699785572325993,1.7521424248007036,5.512838744142245,Optimal
6.0,3.29,-4.0,1,5.1510637302609386,-4.92271510883498,2.564568223645943,5.9553195285886105,Optimal
1.0,2.0,-4.0,1,2.141144815806085,-5.308081784664047,1.8411708549817796,5.999999999966272,Optimal
5.0,2.0,-6.0,1,4.978592756216173,-5.749435224054155,1.9493165393676135,5.999317030612717,Optimal
4.0,3.61,-5.0,1,3.909357632680485,-5.7022426463210785,2.39849140493917,4.920465100529105,Optimal
4.0,2.64,-6.0,1,4.211637148083106,-5.7611154377905445,2.056939684030718,5.961279793402336,Optimal
5.0,2.0,-5.5,1,6.201983043960761,-4.6924348293979055,1.9963355018731064,6.007721959393865,Optimal
4.0,2.0,-5.5,0,4.061583262655747,-5.201826405953308,1.994686999925316,3.728291957325126,Optimal
5.0,2.02,-4.5,1,4.686520531096211,-4.594156792903325,1.943417653377499,6.002217421244139,Risk/Caution
7.0,2.19,-5.0,1,6.054583010631027,-5.012895815899499,1.982017026643939,6.000412294959716,Risk/Caution
8.0,2.48,-2.0,1,6.6104164361650195,-4.152068439928214,2.124297876174242,6.000294496399797,Risk/Caution
5.0,2.32,-4.0,1,5.528577418427485,-3.5014826676123225,2.107572112308397,6.00010732376086,Risk/Caution
8.0,2.32,-3.0,1,6.423723817791411,-4.213422185446773,2.075948592333506,6.000027937255535,Risk/Caution
